word,count
lengan,107741
dress,93392
wanita,86729
gb,85418
cream,74870
untuk,63706
powder,62864
neck,59855
panjang,56538
promo,51693
model,47489
v,46569
s,45007
original,40560
motif,36338
bb,36278
new,35011
polos,34150
sexy,33703
samsung,33216
bahan,32889
warna,32231
casual,32075
cushion,31910
garansi,31384
murah,31298
a,29505
kaos,28800
shirt,28659
pendek,28356
lace,28265
iphone,27720
women,27344
dengan,27249
print,27202
spf,26999
pesta,26878
long,26859
musim,25756
bedak,25328
mini,24608
resmi,24593
t,23784
tanpa,23301
ram,23268
matte,22787
black,22735
galaxy,22375
oppo,21289
foundation,21175
plus,21082
sleeve,20997
dan,20142
gaun,19673
wardah,19302
g,18502
blus,18343
ml,18113
panas,17837
loose,17822
longgar,17451
o,17430
wa,17155
shoulder,16779
f,16690
lip,16678
face,16499
off,16177
diskon,16091
beli,15853
white,15804
natural,15649
sale,15611
ready,15577
slim,14993
pink,14898
gratis,14881
termurah,14717
gold,14297
big,14274
top,14184
fashion,14149
etude,14097
hitam,13950
liquid,13888
the,13857
sifon,13730
blouse,13516
bunga,13367
terlaris,13170
xiaomi,12943
gr,12793
maxi,12770
pro,12622
korea,12448
pa,12358
tahun,12013
in,11988
cc,11969
bodycon,11936
vivo,11936
baju,11920
house,11836
make,11630
m,11445
import,11363
up,11349
best,11236
di,11214
party,10993
putih,10867
baru,10788
kemeja,10746
floral,10727
acne,10485
atasan,10255
light,10229
stock,10130
maybelline,10025
no,9974
magic,9972
color,9873
mi,9817
midi,9801
skin,9766
whitening,9682
j,9632
fit,9578
concealer,9542
refill,9523
mineral,9501
blush,9446
summer,9445
terbaru,9431
bioaqua,9409
kerah,9383
hot,9375
glow,9292
bergaya,9260
note,8871
stripe,8866
n,8831
x,8808
ori,8805
cover,8800
renda,8746
size,8732
balm,8694
laneige,8583
brokat,8470
cuci,8407
lipstick,8401
ukuran,8331
vintage,8315
katun,8309
anti,8230
nyx,8162
gudang,8158
tempat,8142
stick,8076
produk,8060
beauty,8050
cotton,7984
red,7899
asus,7878
bayar,7860
short,7635
basic,7629
wajah,7589
l,7550
sleeveless,7545
besar,7448
c,7403
free,7400
gaya,7333
hari,7195
malam,7186
harga,7130
compact,7121
ini,7054
gel,7003
makeup,6986
cake,6917
super,6785
berkualitas,6742
zenfone,6734
paling,6639
